# 0.2s interval (100 transitions)
# dscp : 9/0->5QI9 | 44->66(GBR) | 24->80(PDB-only) | 15->84(DC-GBR)
# iperf bit rate: GBR: 8Mbps, DC-GBR: 5Mbps, PDB-only: 1.5Mbps
# rel_time_s,dscp
0,9
0.2,44
0.4,24
0.6,15
0.8,24
1,44
1.2,24
1.4,44
1.6,24
1.8,44
2,15
2.2,24
2.4,15
2.6,24
2.8,44
3,24
3.2,15
3.4,24
3.6,44
3.8,15
4,24
4.2,44
4.4,24
4.6,44
4.8,15
5,24
5.2,44
5.4,24
5.6,44
5.8,24
6,44
6.2,24
6.4,44
6.6,15
6.8,44
7,15
7.2,24
7.4,44
7.6,15
7.8,24
8,15
8.2,44
8.4,15
8.6,44
8.8,15
9,24
9.2,44
9.4,15
9.6,24
9.8,15
10,44
10.2,15
10.4,44
10.6,15
10.8,44
11,24
11.2,15
11.4,24
11.6,44
11.8,24
12,44
12.2,24
12.4,44
12.6,24
12.8,15
13,24
13.2,15
13.4,44
13.6,24
13.8,44
14,24
14.2,44
14.4,24
14.6,44
14.8,15
15,44
15.2,24
15.4,15
15.6,24
15.8,15
16,44
16.2,15
16.4,24
16.6,15
16.8,24
17,44
17.2,24
17.4,44
17.6,24
17.8,15
18,24
18.2,44
18.4,15
18.6,24
18.8,15
19,44
19.2,15
19.4,44
19.6,15
19.8,24
