# 0.2s interval (100 transitions)
# 5QI : 66(GBR: 7Mbps), 80(PRD-only), 84(DC-GBR: 4Mbps)
# iperf bit rate: GBR: 8Mbps, DC-GBR: 5Mbps, PDB-only: 1.5Mbps
# rel_time_s,five_qi
0,9
0.2,66
0.4,80
0.6,84
0.8,80
1,66
1.2,80
1.4,66
1.6,80
1.8,66
2,84
2.2,80
2.4,84
2.6,80
2.8,66
3,80
3.2,84
3.4,80
3.6,66
3.8,84
4,80
4.2,66
4.4,80
4.6,66
4.8,84
5,80
5.2,66
5.4,80
5.6,66
5.8,80
6,66
6.2,80
6.4,66
6.6,84
6.8,66
7,84
7.2,80
7.4,66
7.6,84
7.8,80
8,84
8.2,66
8.4,84
8.6,66
8.8,84
9,80
9.2,66
9.4,84
9.6,80
9.8,84
10,66
10.2,84
10.4,66
10.6,84
10.8,66
11,80
11.2,84
11.4,80
11.6,66
11.8,80
12,66
12.2,80
12.4,66
12.6,80
12.8,84
13,80
13.2,84
13.4,66
13.6,80
13.8,66
14,80
14.2,66
14.4,80
14.6,66
14.8,84
15,66
15.2,80
15.4,84
15.6,80
15.8,84
16,66
16.2,84
16.4,80
16.6,84
16.8,80
17,66
17.2,80
17.4,66
17.6,80
17.8,84
18,80
18.2,66
18.4,84
18.6,80
18.8,84
19,66
19.2,84
19.4,66
19.6,84
19.8,80
